"Date Time, GMT-07:00","Temp, °F","Event, units"
19-06-14 08:44:23.0,96.942,0.00
19-06-14 08:49:23.0,96.168,
19-06-14 08:54:23.0,93.873,
19-06-14 08:59:23.0,92.737,
19-06-14 09:04:23.0,91.800,
19-06-14 09:09:23.0,91.612,
19-06-14 09:14:23.0,91.612,
19-06-14 09:19:23.0,92.363,
19-06-14 09:24:23.0,92.363,
19-06-14 09:29:23.0,92.363,
19-06-14 09:34:23.0,92.926,
19-06-14 09:39:23.0,93.115,
19-06-14 09:44:23.0,93.115,
19-06-14 09:49:23.0,93.115,
19-06-14 09:54:23.0,93.115,
19-06-14 09:59:23.0,92.926,
19-06-14 10:04:23.0,93.115,
19-06-14 10:09:23.0,92.550,
19-06-14 10:14:23.0,92.926,
19-06-14 10:19:23.0,93.873,
19-06-14 10:24:23.0,94.444,
19-06-14 10:29:23.0,94.444,
19-06-14 10:34:23.0,94.253,
19-06-14 10:39:23.0,94.444,
19-06-14 10:44:23.0,95.016,
19-06-14 10:49:23.0,95.016,
19-06-14 10:54:23.0,95.207,
19-06-14 10:59:23.0,95.400,
19-06-14 11:04:23.0,94.633,
19-06-14 11:09:23.0,95.016,
19-06-14 11:14:23.0,95.590,
19-06-14 11:19:23.0,95.976,
19-06-14 11:24:23.0,95.400,
19-06-14 11:29:23.0,95.590,
19-06-14 11:34:23.0,96.168,
19-06-14 11:39:23.0,96.748,
19-06-14 11:44:23.0,97.137,
19-06-14 11:49:23.0,96.942,
19-06-14 11:54:23.0,96.748,
19-06-14 11:59:23.0,96.168,
19-06-14 12:04:23.0,96.748,
19-06-14 12:09:23.0,97.137,
19-06-14 12:14:23.0,96.748,
19-06-14 12:19:23.0,97.137,
19-06-14 12:24:23.0,97.331,
19-06-14 12:29:23.0,96.748,
19-06-14 12:34:23.0,97.137,
19-06-14 12:39:23.0,97.137,
19-06-14 12:44:23.0,97.331,
19-06-14 12:49:23.0,98.110,
19-06-14 12:54:23.0,98.699,
19-06-14 12:59:23.0,98.307,
19-06-14 13:04:23.0,98.110,
19-06-14 13:09:23.0,98.307,
19-06-14 13:14:23.0,98.699,
19-06-14 13:19:23.0,98.699,
19-06-14 13:24:23.0,98.503,
19-06-14 13:29:23.0,98.503,
19-06-14 13:34:23.0,98.110,
19-06-14 13:39:23.0,98.110,
19-06-14 13:44:23.0,98.503,
19-06-14 13:49:23.0,98.503,
19-06-14 13:54:23.0,98.699,
19-06-14 13:59:23.0,99.093,
19-06-14 14:04:23.0,99.093,
19-06-14 14:09:23.0,99.291,
19-06-14 14:14:23.0,99.687,
19-06-14 14:19:23.0,99.489,
19-06-14 14:24:23.0,99.291,
19-06-14 14:29:23.0,99.687,
19-06-14 14:34:23.0,99.489,
19-06-14 14:39:23.0,99.093,
19-06-14 14:44:23.0,99.291,
19-06-14 14:49:23.0,99.885,
19-06-14 14:54:23.0,98.897,
19-06-14 14:59:23.0,98.897,
19-06-14 15:04:23.0,98.897,
19-06-14 15:09:23.0,99.093,
19-06-14 15:14:23.0,98.897,
19-06-14 15:19:23.0,99.093,
