"Date Time, GMT-07:00","Temp, °C"
19-03-16 12:48:16,35.222
19-03-16 13:48:16,24.158
19-03-16 14:48:16,25.610
19-03-16 15:48:16,22.908
19-03-16 16:48:16,20.805
19-03-16 17:48:16,17.475
19-03-16 18:48:16,16.046
19-03-16 19:48:16,14.900
19-03-16 20:48:16,14.038
19-03-16 21:48:16,13.558
19-03-16 22:48:16,13.076
19-03-16 23:48:16,12.207
19-03-17 00:48:16,11.625
19-03-17 01:48:16,11.139
19-03-17 02:48:16,10.748
19-03-17 03:48:16,10.357
19-03-17 04:48:16,9.965
19-03-17 05:48:16,9.373
19-03-17 06:48:16,9.176
19-03-17 07:48:16,9.275
19-03-17 08:48:16,10.161
19-03-17 09:48:16,12.594
19-03-17 10:48:16,16.808
19-03-17 11:48:16,20.901
19-03-17 12:48:16,23.966
19-03-17 13:48:16,23.581
19-03-17 14:48:16,23.773
19-03-17 15:48:16,24.931
19-03-17 16:48:16,20.901
19-03-17 17:48:16,18.521
19-03-17 18:48:16,16.903
19-03-17 19:48:16,15.378
19-03-17 20:48:16,14.230
19-03-17 21:48:16,13.365
19-03-17 22:48:16,12.690
19-03-17 23:48:16,12.110
19-03-18 00:48:16,11.431
19-03-18 01:48:16,11.041
19-03-18 02:48:16,10.357
19-03-18 03:48:16,10.161
19-03-18 04:48:16,9.965
19-03-18 05:48:16,9.768
19-03-18 06:48:16,9.669
19-03-18 07:48:16,9.965
19-03-18 08:48:16,10.846
19-03-18 09:48:16,13.365
19-03-18 10:48:16,17.855
19-03-18 11:48:16,22.142
19-03-18 12:48:16,25.416
19-03-18 13:48:16,24.931
19-03-18 14:48:16,23.869
19-03-18 15:48:16,26.585
19-03-18 16:48:16,23.677
19-03-18 17:48:16,21.091
19-03-18 18:48:16,18.806
19-03-18 19:48:16,17.094
19-03-18 20:48:16,15.951
19-03-18 21:48:16,14.996
19-03-18 22:48:16,14.421
19-03-18 23:48:16,13.942
19-03-19 00:48:16,13.558
19-03-19 01:48:16,12.787
19-03-19 02:48:16,12.207
19-03-19 03:48:16,12.110
19-03-19 04:48:16,12.207
19-03-19 05:48:16,11.528
19-03-19 06:48:16,11.236
19-03-19 07:48:16,11.625
19-03-19 08:48:16,12.690
19-03-19 09:48:16,15.569
19-03-19 10:48:16,20.138
